Course	Name	Attributes	Prerequisites
LCC 2100	Introduction to Science, Technology, and Culture	Humanities Requirement	ENGL 1102
LCC 2200	Introduction to Gender Studies	Humanities Requirement	ENGL 1102
LCC 2300	Introduction to Biomedicine and Culture	Humanities Requirement	ENGL 1102
LCC 2400	Introduction to Media Studies	Humanities Requirement	ENGL 1102
LCC 2500	Introduction to Film	Humanities Requirement	ENGL 1102
LCC 2600	Introduction to Performance Studies	Humanities Requirement	ENGL 1102
LCC 2661	Theater Production: Set Design and Construction		ENGL 1102
LCC 2662	Theater Production II: Lights, Properties, Costumes		ENGL 1102
LCC 2698	Undergraduate Research Assistantship		
LCC 2699	Undergraduate Research		
LCC 2700	Introduction to Computational Media		ENGL 1102,CS 1315,CS 1316,|,CS 1301,CS 1321,|,|,CS 1371,|,&
LCC 2710	Visual Culture and Design		LCC 2100,LCC 2700,|
LCC 2720	Principles of Visual Design		ENGL 1102
LCC 2730	Constructing the Moving Image		LCC 2100,LCC 2700,|,LCC 2720,|
LCC 2801	Special Topics		
LCC 2803	Special Topics		
LCC 2813	Special Topics in Science, Technology, and Culture		ENGL 1102
LCC 2823	Special Topics in Literary and Cultural Studies		ENGL 1102
LCC 3102	The Classical Tradition	Country and Region (IP),Humanities Requirement	ENGL 1102
LCC 3104	The Age of Scientific Discovery	Country and Region (IP),Humanities Requirement	ENGL 1102
LCC 3106	The Age of Scientific Revolution	Country and Region (IP),Global Perspectives,Humanities Requirement	ENGL 1102
LCC 3108	Science, Technology, and Enlightenment	Global Perspectives,Humanities Requirement	ENGL 1102
LCC 3110	Science, Technology, and Romanticism	Global Perspectives,Humanities Requirement	ENGL 1102
LCC 3112	Evolution and the Industrial Age	Global Perspectives,Humanities Requirement	ENGL 1102
LCC 3114	Science, Technology, and Modernism	Global Perspectives,Humanities Requirement	ENGL 1102
LCC 3116	Science, Technology and Postmodernism	Global Perspectives,Humanities Requirement	ENGL 1102
LCC 3118	Science, Technology, and American Empire	Humanities Requirement	ENGL 1102
LCC 3202	Studies in Fiction	Humanities Requirement	ENGL 1102
LCC 3204	Poetry and Poetics	Humanities Requirement	ENGL 1102
LCC 3206	Studies in Communication and Culture	Humanities Requirement	ENGL 1102
LCC 3208	African American Literature and Culture	Humanities Requirement	ENGL 1102
LCC 3210	Ethnicity in American Culture	Humanities Requirement	ENGL 1102
LCC 3212	Women, Literature, and Culture	Country and Region (IP),Humanities Requirement	ENGL 1102
LCC 3214	Science Fiction	Humanities Requirement	ENGL 1102
LCC 3216	Theatre I: Classic and Medieval	Humanities Requirement	ENGL 1102
LCC 3218	Theatre II: Renaissance-Restoration	Humanities Requirement	ENGL 1102
LCC 3219	Literature and Medicine	Ethics Requirement,Humanities Requirement	ENGL 1102
LCC 3220	Theatre III: Modern-Contemporary	Humanities Requirement	ENGL 1102
LCC 3222	Regionalism in American Literature	Humanities Requirement	ENGL 1102
LCC 3225	Gender Studies in the Disciplines	Humanities Requirement	ENGL 1102
LCC 3226	Major Authors	Humanities Requirement	ENGL 1102
LCC 3228	Shakespeare	Humanities Requirement	ENGL 1102
LCC 3234	Creative Writing	Humanities Requirement	ENGL 1102
LCC 3252	Studies in Film and Television	Humanities Requirement	LCC 2400,LCC 2500,|
LCC 3254	Film History	Humanities Requirement	LCC 2500
LCC 3256	Major Filmmakers	Humanities Requirement	LCC 2500
LCC 3257	Global Cinema	Global Perspectives,Humanities Requirement	LCC 2500
LCC 3258	Documentary Film	Humanities Requirement	LCC 2500
LCC 3259	Experimental Film and Video	Humanities Requirement	LCC 2500
LCC 3262	Performance Studies	Humanities Requirement	LCC 2600
LCC 3302	Science, Technology, and Ideology	Country and Region (IP),Humanities Requirement	ENGL 1102
LCC 3304	Science, Technology, and Gender	Humanities Requirement	ENGL 1102
LCC 3306	Science, Technology, and Race	Humanities Requirement	ENGL 1102
LCC 3308	Environmentalism and Ecocriticism	Humanities Requirement	ENGL 1102
LCC 3310	The Rhetoric of Scientific Inquiry	Humanities Requirement	ENGL 1102
LCC 3314	Technologies of Representation	Humanities Requirement	ENGL 1102
LCC 3316	Science, Technology, and Postcolonialism	Country and Region (IP),Global Perspectives,Humanities Requirement	ENGL 1102
LCC 3318	Biomedicine and Culture	Ethics Requirement,Humanities Requirement	ENGL 1102
